Epoch 1/10 | Train Acc: 0.9252 | Val Acc: 0.9218 | Val Loss: 0.2602
Epoch 2/10 | Train Acc: 0.9544 | Val Acc: 0.9525 | Val Loss: 0.1633
Epoch 3/10 | Train Acc: 0.9676 | Val Acc: 0.9625 | Val Loss: 0.1253
Epoch 4/10 | Train Acc: 0.9737 | Val Acc: 0.9658 | Val Loss: 0.1132
Epoch 5/10 | Train Acc: 0.9783 | Val Acc: 0.9708 | Val Loss: 0.0956
Epoch 6/10 | Train Acc: 0.9823 | Val Acc: 0.9713 | Val Loss: 0.0903
Epoch 7/10 | Train Acc: 0.9824 | Val Acc: 0.9692 | Val Loss: 0.1042
Epoch 8/10 | Train Acc: 0.9881 | Val Acc: 0.9763 | Val Loss: 0.0783
Epoch 9/10 | Train Acc: 0.9915 | Val Acc: 0.9770 | Val Loss: 0.0756
Epoch 10/10 | Train Acc: 0.9921 | Val Acc: 0.9788 | Val Loss: 0.0753
