Epoch 1/10 | Train Acc: 0.9271 | Val Acc: 0.9257 | Val Loss: 0.2482
Epoch 2/10 | Train Acc: 0.9537 | Val Acc: 0.9508 | Val Loss: 0.1664
Epoch 3/10 | Train Acc: 0.9661 | Val Acc: 0.9598 | Val Loss: 0.1284
Epoch 4/10 | Train Acc: 0.9724 | Val Acc: 0.9657 | Val Loss: 0.1109
Epoch 5/10 | Train Acc: 0.9773 | Val Acc: 0.9687 | Val Loss: 0.0994
Epoch 6/10 | Train Acc: 0.9817 | Val Acc: 0.9710 | Val Loss: 0.0969
Epoch 7/10 | Train Acc: 0.9832 | Val Acc: 0.9697 | Val Loss: 0.0974
Epoch 8/10 | Train Acc: 0.9895 | Val Acc: 0.9757 | Val Loss: 0.0769
Epoch 9/10 | Train Acc: 0.9879 | Val Acc: 0.9727 | Val Loss: 0.0930
Epoch 10/10 | Train Acc: 0.9928 | Val Acc: 0.9760 | Val Loss: 0.0800
